0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,,,,,,,Fatal,,,Non-Injury,Total
S. No.,States/UTs,,,,2019,,,,,,,,
,,,,,,,S.No,States/UTs,,Injury,Injury,,
,,,,,,,,,Accidents,,,Accidents,Accidents
,,2016,2017,2018,,,,,,,,,
,,,,,,,,,,Accidents,Accidents,,
,,,,,Number,Rank,,,,,,,
,,,,,,,22,Rajasthan,"9,471","4,226","8,966",817,"23,480"
22,Rajasthan,45.4,47.2,47.5,45.0,13,,,,,,,
,,,,,,,23,Sikkim,61,50,42,9,162
23,Sikkim,40.5,39.8,47.2,45.1,12,,,,,,,
,,,,,,,24,Tamil Nadu,"9,813","3,771","42,885",759,"57,228"
24,Tamil Nadu,24.1,24.6,19.1,18.4,29,,,,,,,
,,,,,,,25,Telangana,"6,472","2,190","10,792","2,116","21,570"
25,Telangana,31.6,29.3,29.7,32.3,24,,,,,,,
,,,,,,,26,Tripura,224,409,8,14,655
26,Tripura,31.1,32.0,38.6,36.5,20,,,,,,,
,,,,,,,27,Uttarakhand,750,472,101,29,"1,352"
27,Uttarakhand,60.5,58.8,71.3,64.1,6,,,,,,,
,,,,,,,28,Uttar Pradesh,"19,731","13,651","7,739",1451,"42,572"
28,Uttar Pradesh,54.3,51.9,52.3,53.2,9,,,,,,,
,,,,,,,29,West Bengal,"5,120","4,734",304,0,"10,158"
29,West Bengal,48.2,49.6,45.0,54.1,7,,,,,,,
,,,,,,,30,A & N Islands,20,63,92,55,230
30,Andaman & Nicobar Islands,7.1,11.1,7.5,8.7,33,,,,,,,
,,,,,,,31,Chandigarh,100,14,162,29,305
31,Chandigarh,35.3,31.3,31.0,34.1,23,,,,,,,
,,,,,,,32,D & N Haveli,48,18,0,2,68
32,Dadra & Nagar Haveli,65.7,64.2,67.5,72.1,3,,,,,,,
,,,,,,,33,Daman & Diu,23,28,11,7,69
33,Daman & Diu,53.5,45.6,46.1,40.6,15,,,,,,,
,,,,,,,34,Delhi,"1,433",666,"3,459",52,"5,610"
34,Delhi,21.6,23.7,25.9,26.1,26,,,,,,,
,,,,,,,35,Lakshadweep,0,1,0,0,1
35,Lakshadweep,100.0,0.0,33.3,0.0,36,,,,,,,
,,,,,,,36,Puducherry,143,587,605,57,"1,392"
36,Puducherry,13.8,13.8,14.2,10.6,32,,,,,,,
,,,,,,,,Total,"1,37,689","1,26,759","1,57,215","27,339","4,49,002"
,National Average,31.4,31.8,32.4,33.7,,,,,,,,
