0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
,,,,,,,Total Number of Road Accidents in India: 2016 to 2019,,,,,,,,,,,,,,
,,,,,,,,Share of States/UTs in Total Number,,,,Total Number of Accidents Per Lakh,,,,Total Number of  Road Accidents,,,,Total Number of  Road Accidents,
,,State/UT-Wise Total Number of Road Accidents during,,,,,,,,,,,,,,,,,,,
S.,,,,,,,,,of Road Accidents,,,,Population,,,"per 10,000 Vehicles",,,,"per 10,000 Km of Roads",
,States/UTs,,,,,,,,,,,,,,,,,,,,
No.,,,,,2019,,,,,,,,,,,,2018,2019,,,2018
,,2016,2017,2018,,,2016,2017,2018,2019,2016,2017,2018,2019,2016,2017,,,2016,2017,
,,,,,Number,Rank,,,,,,,,,,,(P),(P),,,(P)
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
27,Uttarakhand,"1,591","1,603","1,468","1,352",24,0.3,0.3,0.3,0.3,15.0,14.9,13.5,12.3,8.4,7.5,5.9,4.9,260.7,229.7,277.8
28,Uttar Pradesh,"35,612","38,783","42,568","42,572",3,7.4,8.3,9.1,9.5,16.3,17.5,18.9,18.7,14.9,14.8,14.5,13.0,843.1,906.0,975.6
29,West Bengal,"13,580","11,631","12,705","10,158",14,2.8,2.5,2.7,2.3,14.5,12.3,13.4,10.6,20.9,15.6,14.8,10.4,428.8,361.1,386.0
30,A & N Islands,238,189,254,230,31,0.0,0.0,0.1,0.1,43.2,33.6,44.2,39.1,21.4,15.5,19.4,16.3,"1,594.3","1,168.9","1,415.8"
31,Chandigarh,428,342,316,305,29,0.1,0.1,0.1,0.1,24.0,18.4,16.3,15.0,5.1,3.9,3.3,3.0,"1,517.2","1,212.4","1,244.6"
32,D & N Haveli,70,67,80,68,34,0.0,0.0,0.0,0.0,16.6,15.3,17.7,14.5,6.6,6.0,6.8,5.5,617.4,564.5,674.0
33,Daman & Diu,71,79,76,69,33,0.0,0.0,0.0,0.0,21.5,23.0,21.2,18.4,6.7,6.8,$,$,"1,432.6","1,853.2","2,076.5"
34,Delhi,"7,375","6,673","6,515","5,610",19,1.5,1.4,1.4,1.2,34.6,30.5,28.9,24.2,7.6,6.5,6.1,4.9,"4,184.4","3,731.6","3,702.5"
35,Lakshadweep,1,1,3,1,36,0.0,0.0,0.0,0.0,1.2,1.2,3.6,1.2,0.6,0.6,1.7,0.6,47.8,47.1,133.9
36,Puducherry,"1,766","1,693","1,597","1,392",23,0.4,0.4,0.3,0.3,105.8,97.7,88.8,74.5,20.5,18.2,16.0,13.1,"5,564.7","5,221.8","3,720.0"
,Total,"4,80,652","4,64,910","4,67,044","4,49,002",,100.0,100.0,100.0,100.0,37.9,36.2,36.0,34.2,20.9,18.4,17.1,15.1,"1,021.9","1,021.9",930.3
Note: *: Figures of road length  for  the year 2018 are provisional and data for 2019 are not finalised; figures for Registered Motor Vehicles for the year 2018 & 2019 are provisional.,,,,,,,,,,,,,,,,,,,,,
