0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
,,Total Number of Persons Killed in Road Accidents in India: 2016 to 2019,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Total Number of,,,,Total Number of,,,,,,
,,,,,,,Share of States/UTs in Total,,,,,,,,,,,Total Number of Persons,,,
,,State/UT-Wise Total Number of  Persons Killed,,,,,,,,,Persons Killed in Road,,,,Persons Killed in Road,,,,,,
,,,,,,,Number of Persons Killed in,,,,,,,,,,,Killed in Road Accidents,,,
S.,,,in Road Accidents during,,,,,,,,Accidents Per Lakh,,,,"Accidents per 10,000",,,,,,
States/UTs,,,,,,,Road Accidents,,,,,,,,,,,,"per 10,000 Km of Roads",,
,,,,,,,,,,,Population,,,,Vehicles,,,,,,
No.,,,,,,,,,,,,,,,,,,,,,
,,,,2019,,,,,,,,,,,,,,,,,
,2016,2017,2018,,,2016,2017,2018,2019,2016,2017,2018,2019,2016,2017,2018,2019,2016,2017,2018,
,,,,Number,Rank,,,,,,,,,,,(P),(P),,,(P),
"2
1",3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,
"Andhra Pradesh
1","8,541","8,060","7,556","7,984",7,5.7,5.4,5.0,5.3,9.7,9.1,8.4,8.8,9.8,8.4,7.0,6.7,489.8,456.7,346.3,
"Arunachal Pradesh
2",149,110,175,127,28,0.1,0.1,0.1,0.1,11.3,8.3,13.0,9.4,5.6,6.1,8.3,5.5,48.5,29.7,34.6,
"Assam
3","2,572","2,783","2,966","3,208",18,1.7,1.9,2.0,2.1,7.9,8.5,8.9,9.6,9.1,9.2,8.6,8.1,78.1,82.4,86.3,
"Bihar
4","4,901","5,554","6,729","7,205",9,3.3,3.8,4.4,4.8,4.7,5.3,6.3,6.7,8.9,8.9,9.1,8.4,237.4,265.0,231.6,
"Chhattisgarh
5","3,908","4,136","4,592","5,003",14,2.6,2.8,3.0,3.3,15.1,15.8,17.3,18.7,8.1,7.9,7.9,7.8,407.9,422.7,447.7,
"Goa
6",336,328,262,297,23,0.2,0.2,0.2,0.2,17.0,16.2,12.7,14.0,2.9,2.6,2.0,2.1,209.2,196.9,140.8,
"Gujarat
7","8,136","7,289","7,996","7,390",8,5.4,4.9,5.3,4.9,13.0,11.5,12.5,11.4,4.0,3.3,3.4,2.9,454.2,402.9,396.3,
"Haryana
8","5,024","5,120","5,118","5,057",13,3.3,3.5,3.4,3.3,18.3,18.4,18.1,17.7,5.8,5.5,6.6,5.9,"1,036.3",629.1,"1,023.2",
"Himachal Pradesh
9","1,271","1,203","1,208","1,146",20,0.8,0.8,0.8,0.8,17.9,16.8,16.8,15.8,10.8,8.9,8.1,7.0,227.9,191.5,195.2,
"Jammu & Kashmir
10",958,926,984,996,21,0.6,0.6,0.6,0.7,7.7,7.4,7.8,7.8,7.0,6.1,5.9,5.4,192.7,146.1,90.5,
"Jharkhand
11","3,027","3,256","3,542","3,801",17,2.0,2.2,2.3,2.5,9.0,9.6,10.3,10.9,12.2,9.6,8.8,8.3,453.2,466.0,448.0,
12 Karnataka,"11,133","10,609","10,990","10,958",4,7.4,7.2,7.3,7.3,17.8,16.9,17.3,17.1,6.8,5.9,5.7,5.2,322.2,293.8,310.0,
13 Kerala,"4,287","4,131","4,303","4,440",16,2.8,2.8,2.8,2.9,12.0,11.5,11.9,12.3,4.2,3.7,3.5,3.3,213.5,171.7,167.4,
14 Madhya Pradesh,"9,646","10,177","10,706","11,249",3,6.4,6.9,7.1,7.4,12.4,12.9,13.4,13.9,8.7,7.7,8.1,8.5,332.7,297.0,294.1,
15 Maharashtra,"12,935","12,264","13,261","12,788",2,8.6,8.3,8.8,8.5,10.8,10.1,10.8,10.3,4.6,4.1,4.0,3.6,210.9,196.5,211.7,
16 Manipur,81,136,134,156,26,0.1,0.1,0.1,0.1,3.1,5.2,5.1,5.8,2.6,4.0,4.4,4.3,32.7,49.3,45.9,
17 Meghalaya,150,182,182,179,25,0.1,0.1,0.1,0.1,5.4,6.5,6.4,6.3,2.7,3.1,5.5,4.9,69.0,79.3,41.5,
18 Mizoram,70,60,45,48,32,0.0,0.0,0.0,0.0,6.6,5.6,4.1,4.4,4.1,3.2,2.2,2.1,86.3,54.5,33.6,
19 Nagaland,46,41,39,26,34,0.0,0.0,0.0,0.0,1.9,1.7,1.6,1.1,1.2,1.0,0.9,0.5,12.7,11.3,10.6,
20 Odisha,"4,463","4,790","5,315","5,333",12,3.0,3.2,3.5,3.5,10.5,11.2,12.3,12.3,7.7,7.3,7.2,6.4,154.9,157.7,172.6,
21 Punjab,"5,077","4,463","4,740","4,525",15,3.4,3.0,3.1,3.0,17.4,15.2,16.0,15.1,5.6,4.5,4.9,4.3,468.5,319.9,332.3,
22 Rajasthan,"10,465","10,444","10,320","10,563",5,6.9,7.1,6.8,7.0,14.3,14.1,13.8,13.9,7.7,7.0,6.3,6.0,411.6,393.2,329.3,
"Sikkim
23",85,78,85,73,30,0.1,0.1,0.1,0.0,13.1,11.9,12.9,10.9,17.3,14.4,13.9,10.2,103.1,68.5,62.9,
24 Tamil Nadu,"17,218","16,157","12,216","10,525",6,11.4,10.9,8.1,7.0,24.8,23.2,17.4,15.0,7.1,6.2,4.4,3.5,659.6,618.0,452.4,
25 Telangana,"7,219","6,596","6,603","6,964",10,4.8,4.5,4.4,4.6,NA,NA,NA,NA,8.3,6.7,6.0,5.7,584.2,522.9,515.6,
26 Tripura,173,161,213,239,24,0.1,0.1,0.1,0.2,4.5,4.2,5.5,6.1,5.4,4.2,4.9,4.8,43.9,37.5,49.3,
27 Uttarakhand,962,942,"1,047",867,22,0.6,0.6,0.7,0.6,9.0,8.8,9.6,7.9,5.1,4.4,4.2,3.1,157.7,135.0,198.1,
28 Uttar Pradesh,"19,320","20,124","22,256","22,655",1,12.8,13.6,14.7,15.0,8.9,9.1,9.9,9.9,8.1,7.7,7.6,6.9,457.4,470.1,510.1,
29 West Bengal,"6,544","5,769","5,711","5,500",11,4.3,3.9,3.8,3.6,7.0,6.1,6.0,5.7,10.1,7.7,6.7,5.6,206.6,179.1,173.5,
30 A & N Islands,17,21,19,20,35,0.0,0.0,0.0,0.0,3.1,3.7,3.3,3.4,1.5,1.7,1.4,1.4,113.9,129.9,105.9,
31 Chandigarh,151,107,98,104,29,0.1,0.1,0.1,0.1,8.5,5.8,5.0,5.1,1.8,1.2,1.0,1.0,535.3,379.3,385.9,
32 Dadra & Nagar Haveli,46,43,54,49,31,0.0,0.0,0.0,0.0,10.9,9.8,11.9,10.5,4.4,3.9,4.6,4.0,405.7,362.3,454.9,
33 Daman & Diu,38,36,35,28,33,0.0,0.0,0.0,0.0,11.5,10.5,9.7,7.5,3.6,3.1,$,$,766.7,844.5,955.6,
34 Delhi,"1,591","1,584","1,690","1,463",19,1.1,1.1,1.1,1.0,7.5,7.2,7.5,6.3,1.6,1.5,1.6,1.3,902.7,885.8,960.4,
35 Lakshadweep,1,0,1,0,36,0.0,0.0,0.0,0.0,1.2,0.0,1.2,0.0,0.6,0.0,0.6,0.0,47.8,0.0,44.6,
36 Puducherry,244,233,226,147,27,0.2,0.2,0.1,0.1,14.6,13.4,12.6,7.9,2.8,2.5,2.3,1.4,768.8,718.7,526.5,
Total,"1,50,785","1,47,913","1,51,417","151,113",,100.0,100.0,100.0,100.0,11.9,11.5,11.7,11.5,6.6,5.8,5.5,5.1,320.6,296.0,284.8,Annexure 3
,Note: *: Figures of road length  for  the year 2018 are provisional and data for 2019 are not finalised; figures for Registered Motor Vehicles for the year 2018 & 2019 are provisional.,,,,,,,,,,,,,,,,,,,,
